District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Gadiguda,02-Aug-23,0,26.5,88.1
Adilabad,Gadiguda,02-Dec-23,0,20.7,74.7
Adilabad,Gadiguda,02-Feb-23,0,50.0,88.1
Adilabad,Gadiguda,02-Jan-23,0,44.6,83.6
Adilabad,Gadiguda,02-Jul-23,0,16.1,87.6
Adilabad,Gadiguda,02-Jun-23,0,12.3,74.1
Adilabad,Gadiguda,02-Mar-23,0,24.5,73.8
Adilabad,Gadiguda,02-May-23,0,24.5,60.4
Adilabad,Gadiguda,02-Nov-23,0,12.6,75.0
Adilabad,Gadiguda,02-Oct-23,0,19.0,74.6
Adilabad,Gadiguda,02-Sep-23,0,24.5,80.7
Adilabad,Gadiguda,13-Feb-23,0,22.2,70.8
Adilabad,Gadiguda,14-Feb-23,0,14.9,67.4
Adilabad,Gadiguda,15-Feb-23,0,12.6,67.4
Adilabad,Gadiguda,16-Feb-23,0,13.4,67.4
Adilabad,Gadiguda,17-Feb-23,0,13.8,60.9
Adilabad,Gadiguda,18-Feb-23,0,21.9,74.6
Adilabad,Gadiguda,19-Feb-23,0,42.2,74.3
Adilabad,Gadiguda,20-Feb-23,0,20.0,87.8
Adilabad,Gadiguda,21-Feb-23,0,30.8,81.3
Adilabad,Gadiguda,22-Feb-23,0,14.4,76.3
Adilabad,Gadiguda,23-Feb-23,0,11.6,69.1
Adilabad,Gadiguda,24-Feb-23,0,12.0,74.8
Adilabad,Gadiguda,25-Feb-23,0,16.3,60.8
Adilabad,Gadiguda,26-Feb-23,0,22.0,63.3
Adilabad,Gadiguda,27-Feb-23,0,12.8,74.2
Adilabad,Gadiguda,28-Feb-23,0,20.5,76.8
Adilabad,Gudihathnur,02-Apr-23,0,26.0,69.2
Adilabad,Gudihathnur,02-Aug-23,0,39.4,82.9
Adilabad,Gudihathnur,02-Dec-23,0,24.6,83.5
Adilabad,Gudihathnur,02-Feb-23,0,54.6,81.8
Adilabad,Gudihathnur,02-Jan-23,0,56.7,80.4
Adilabad,Gudihathnur,02-Jul-23,0,24.2,80.7
Adilabad,Gudihathnur,02-Jun-23,0,22.9,74.0
Adilabad,Gudihathnur,02-Mar-23,0,30.5,72.5
Adilabad,Gudihathnur,02-May-23,0,26.1,71.0
Adilabad,Gudihathnur,02-Nov-23,0,23.2,76.2
Adilabad,Gudihathnur,02-Oct-23,0,23.0,64.5
Adilabad,Gudihathnur,02-Sep-23,0,39.4,76.3
Adilabad,Gudihathnur,13-Feb-23,0,34.9,70.2
Adilabad,Gudihathnur,14-Feb-23,0,23.1,71.2
Adilabad,Gudihathnur,15-Feb-23,0,22.9,78.5
Adilabad,Gudihathnur,16-Feb-23,0,25.0,68.3
Adilabad,Gudihathnur,17-Feb-23,0,24.6,86.8
Adilabad,Gudihathnur,18-Feb-23,0,30.8,83.8
Adilabad,Gudihathnur,19-Feb-23,0,31.4,81.0
Adilabad,Gudihathnur,20-Feb-23,0,30.9,81.3
