District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Boath,03-Dec-23,0.0,28.7,77.3
Adilabad,Boath,03-Feb-23,0.0,28.0,82.7
Adilabad,Boath,03-Jan-23,0.0,31.1,81.3
Adilabad,Boath,03-Jul-23,0.0,30.1,74.7
Adilabad,Boath,03-Jun-23,0.0,28.7,74.3
Adilabad,Boath,03-Mar-23,0.0,30.3,81.3
Adilabad,Boath,03-May-23,0.0,24.9,81.3
Adilabad,Boath,03-Nov-23,0.0,28.0,71.3
Adilabad,Boath,03-Oct-23,0.0,24.6,71.3
Adilabad,Boath,03-Sep-23,0.0,26.0,80.7
Adilabad,Boath,13-Mar-23,0.0,27.3,76.0
Adilabad,Boath,14-Mar-23,0.0,26.7,81.3
Adilabad,Boath,15-Mar-23,0.0,23.2,68.9
Adilabad,Boath,16-Mar-23,0.0,28.0,68.9
Adilabad,Boath,17-Mar-23,1.4,40.4,90.7
Adilabad,Boath,18-Mar-23,0.0,45.4,85.3
Adilabad,Boath,19-Mar-23,49.4,57.5,97.4
Adilabad,Boath,20-Mar-23,0.0,46.8,90.1
Adilabad,Boath,21-Mar-23,0.0,32.9,95.5
Adilabad,Boath,22-Mar-23,0.0,36.0,88.8
Adilabad,Boath,23-Mar-23,0.0,33.4,88.8
Adilabad,Boath,24-Mar-23,0.0,34.4,81.9
Adilabad,Boath,25-Mar-23,0.0,34.6,89.0
Adilabad,Boath,26-Mar-23,0.0,35.5,90.1
Adilabad,Boath,27-Mar-23,0.0,39.4,89.5
Adilabad,Boath,28-Mar-23,0.0,24.8,76.4
Adilabad,Boath,29-Mar-23,0.0,21.5,85.4
Adilabad,Boath,30-Mar-23,0.0,29.2,100.0
Adilabad,Boath,31-Mar-23,0.0,24.8,77.1
Adilabad,Gadiguda,03-Apr-23,0.0,22.2,74.7
Adilabad,Gadiguda,03-Aug-23,0.0,33.7,61.3
Adilabad,Gadiguda,03-Dec-23,0.0,17.6,57.1
Adilabad,Gadiguda,03-Feb-23,0.0,22.8,76.2
Adilabad,Gadiguda,03-Jan-23,0.0,21.2,74.7
Adilabad,Gadiguda,03-Jul-23,0.0,20.7,68.9
Adilabad,Gadiguda,03-Jun-23,0.0,20.3,70.8
