District,Mandal,Year,Month,total_rain_mm,rain_days,max_daily_rain,avg_min_humidity,avg_max_humidity,max_dry_streak,normal_rain_mm,rain_deviation_pct,drought_risk_score,drought_risk_level,prev_month_rain,prev_month_risk_score,target_encoded
Adilabad,Adilabad Urban,2023,6,81.8,11,48.8,36.233333333333334,70.98,10,179.13333333333333,-54.3,40.4,MILD,35.7,49.2,0
Adilabad,Adilabad Urban,2023,7,611.3,25,131.0,64.18709677419355,98.19677419354838,5,506.09999999999997,20.8,5.5,NORMAL,81.8,40.4,2
Adilabad,Adilabad Urban,2023,8,117.2,17,50.8,56.42258064516129,96.18709677419355,5,292.26666666666665,-59.9,30.1,MILD,611.3,5.5,0
Adilabad,Adilabad Urban,2023,9,249.20000000000002,19,63.0,63.69666666666667,97.71666666666667,7,307.40000000000003,-18.9,15.2,NORMAL,117.2,30.1,2
Adilabad,Adilabad Urban,2023,10,0.0,0,0.0,34.68064516129032,95.74838709677418,31,56.93333333333334,-100.0,71.3,SEVERE,249.20000000000002,15.2,3
Adilabad,Adilabad Urban,2023,11,53.5,3,41.9,40.78666666666666,95.4,57,22.666666666666668,136.0,31.4,MILD,0.0,71.3,0
Adilabad,Adilabad Urban,2023,12,3.5,1,3.5,42.21612903225807,96.99677419354839,24,4.333333333333333,-19.2,32.6,MILD,53.5,31.4,0
Adilabad,Adilabad Urban,2024,1,0.0,0,0.0,35.351612903225806,90.53548387096774,55,0.0,0.0,32.8,MILD,3.5,32.6,0
Adilabad,Adilabad Urban,2024,2,5.5,4,2.0,28.13448275862069,78.77931034482758,56,1.8333333333333333,200.0,36.4,MILD,0.0,32.8,0
Adilabad,Adilabad Urban,2024,3,30.5,5,11.4,21.72258064516129,70.14838709677419,18,12.966666666666667,135.2,27.0,MILD,5.5,36.4,0
Adilabad,Adilabad Urban,2024,4,58.3,11,20.7,23.720000000000002,73.14333333333335,7,47.86666666666667,21.8,15.1,NORMAL,30.5,27.0,2
Adilabad,Adilabad Urban,2024,5,13.899999999999999,5,5.1,22.91290322580645,67.15483870967742,11,67.73333333333333,-79.5,52.7,MODERATE,58.3,15.1,1
Adilabad,Adilabad Urban,2024,6,258.4,17,57.2,37.916666666666664,83.80666666666666,9,179.13333333333333,44.3,13.9,NORMAL,13.899999999999999,52.7,2
Adilabad,Adilabad Urban,2024,7,634.0,25,97.6,67.96774193548387,97.1774193548387,2,506.09999999999997,25.3,2.8,NORMAL,258.4,13.9,2
Adilabad,Adilabad Urban,2024,8,260.1,23,51.6,61.858064516129026,98.60967741935484,2,292.26666666666665,-11.0,6.8,NORMAL,634.0,2.8,2
Adilabad,Adilabad Urban,2024,9,249.1,19,98.9,63.0,98.17,9,307.40000000000003,-19.0,17.1,NORMAL,260.1,6.8,2
Adilabad,Adilabad Urban,2024,10,52.8,10,29.0,50.538709677419355,99.00322580645161,8,56.93333333333334,-7.3,11.2,NORMAL,249.1,17.1,2
Adilabad,Adilabad Urban,2024,11,0.0,0,0.0,37.14,95.60666666666665,38,22.666666666666668,-100.0,71.3,SEVERE,52.8,11.2,3
Adilabad,Adilabad Urban,2024,12,9.5,3,8.6,43.26129032258064,96.18064516129031,40,4.333333333333333,119.2,31.1,MILD,0.0,71.3,0
Adilabad,Adilabad Urban,2025,1,0.0,0,0.0,30.364516129032257,92.36129032258064,34,0.0,0.0,32.3,MILD,9.5,31.1,0
Adilabad,Adilabad Urban,2025,2,0.0,0,0.0,21.335714285714285,82.5,62,1.8333333333333333,-100.0,75.2,SEVERE,0.0,32.3,3
Adilabad,Adilabad Urban,2025,3,1.5,1,1.5,18.62258064516129,69.24193548387096,82,12.966666666666667,-88.4,74.6,SEVERE,0.0,75.2,3
Adilabad,Adilabad Urban,2025,4,14.8,2,13.5,20.220000000000002,59.09666666666667,19,47.86666666666667,-69.1,58.9,MODERATE,1.5,74.6,1
Adilabad,Adilabad Urban,2025,5,153.6,11,50.6,40.90952380952381,86.81904761904762,4,67.73333333333333,126.8,8.0,NORMAL,14.8,58.9,2
Adilabad,Adilabad Urban,2025,6,197.20000000000002,12,104.8,59.339999999999996,90.7,3,179.13333333333333,10.1,5.8,NORMAL,153.6,8.0,2
Adilabad,Adilabad Urban,2025,7,273.0,21,46.2,74.25862068965517,94.37586206896552,4,506.09999999999997,-46.1,24.1,MILD,197.20000000000002,5.8,0
Adilabad,Adilabad Urban,2025,8,499.5,22,144.7,74.19677419354838,94.18709677419355,3,292.26666666666665,70.9,4.7,NORMAL,273.0,24.1,2
Adilabad,Adilabad Urban,2025,9,423.9,20,75.1,71.66333333333334,97.08,4,307.40000000000003,37.9,4.9,NORMAL,499.5,4.7,2
Adilabad,Adilabad Urban,2025,10,118.0,11,51.3,57.42903225806452,92.42903225806452,8,56.93333333333334,107.3,10.3,NORMAL,423.9,4.9,2
Adilabad,Adilabad Urban,2025,11,14.5,2,10.4,46.486666666666665,88.89333333333335,24,22.666666666666668,-36.0,41.7,MILD,118.0,10.3,0
Adilabad,Adilabad Urban,2025,12,0.0,0,0.0,36.099999999999994,91.01935483870967,55,4.333333333333333,-100.0,72.7,SEVERE,14.5,41.7,3
